,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,8.9722,1.866227388381958,4.9e-05,0.05108556832694764,50,,,,,,,,,
1,8.4238,1.4961140155792236,9.900000000000001e-05,0.10217113665389528,100,,,,,,,,,
2,7.6629,1.367257833480835,9.997418194579384e-05,0.1532567049808429,150,,,,,,,,,
3,7.03,1.3869818449020386,9.98946373877661e-05,0.20434227330779056,200,,,,,,,,,
4,6.5658,1.2559688091278076,9.976144110624448e-05,0.2554278416347382,250,,,,,,,,,
5,6.2062,1.0091583728790283,9.957473632724365e-05,0.3065134099616858,300,,,,,,,,,
6,6.0022,0.7068941593170166,9.933472381448698e-05,0.35759897828863346,350,,,,,,,,,
7,5.9122,0.8250604271888733,9.904166165352523e-05,0.4086845466155811,400,,,,,,,,,
8,5.8161,0.8403750658035278,9.869586497421697e-05,0.45977011494252873,450,,,,,,,,,
9,5.7769,0.9811693429946899,9.829770561186952e-05,0.5108556832694764,500,,,,,,,,,
10,5.6941,0.9554510116577148,9.784761170740406e-05,0.561941251596424,550,,,,,,,,,
11,5.6567,1.0447206497192383,9.73460672469757e-05,0.6130268199233716,600,,,,,,,,,
12,5.6468,1.040436029434204,9.679361154154289e-05,0.6641123882503193,650,,,,,,,,,
13,5.5541,1.149364948272705,9.619083864694612e-05,0.7151979565772669,700,,,,,,,,,
14,5.5239,1.384412407875061,9.553839672511948e-05,0.7662835249042146,750,,,,,,,,,
15,5.4739,1.1959803104400635,9.483698734712189e-05,0.8173690932311622,800,,,,,,,,,
16,5.4443,1.5442718267440796,9.408736473873743e-05,0.8684546615581098,850,,,,,,,,,
17,5.4375,1.5902714729309082,9.329033496945602e-05,0.9195402298850575,900,,,,,,,,,
18,5.4053,1.524254322052002,9.244675508570662e-05,0.9706257982120051,950,,,,,,,,,
19,,,,0.9992337164750957,978,6.0530781745910645,3.8714,787.051,98.414,,,,,
20,5.4392,1.4473673105239868,9.155753218927489e-05,1.022477650063857,1000,,,,,,,,,
21,5.2834,1.6348706483840942,9.062362246189618e-05,1.0735632183908046,1050,,,,,,,,,
22,5.2825,1.713852047920227,8.964603013707304e-05,1.1246487867177521,1100,,,,,,,,,
23,5.2634,1.6725490093231201,8.86258064202225e-05,1.1757343550447,1150,,,,,,,,,
24,5.2004,1.6562501192092896,8.756404835831436e-05,1.2268199233716475,1200,,,,,,,,,
25,5.2052,1.7635730504989624,8.646189766021631e-05,1.2779054916985952,1250,,,,,,,,,
26,5.1802,1.767977237701416,8.532053946901384e-05,1.3289910600255428,1300,,,,,,,,,
27,5.1822,2.0027849674224854,8.414120108762544e-05,1.3800766283524903,1350,,,,,,,,,
28,5.1845,1.9189683198928833,8.292515065908321e-05,1.4311621966794381,1400,,,,,,,,,
29,5.1534,2.0639607906341553,8.167369580289825e-05,1.4822477650063857,1450,,,,,,,,,
30,5.1622,2.002859592437744,8.038818220897682e-05,1.5333333333333332,1500,,,,,,,,,
31,5.1057,1.8851312398910522,7.906999219059945e-05,1.584418901660281,1550,,,,,,,,,
32,5.0962,1.909989356994629,7.772054319801894e-05,1.6355044699872288,1600,,,,,,,,,
33,5.0926,1.9794425964355469,7.63412862942755e-05,1.686590038314176,1650,,,,,,,,,
34,5.0844,1.8993645906448364,7.493370459486816e-05,1.7376756066411239,1700,,,,,,,,,
35,5.0861,2.1952502727508545,7.349931167295996e-05,1.7887611749680716,1750,,,,,,,,,
36,5.0501,1.9576390981674194,7.203964993183229e-05,1.8398467432950192,1800,,,,,,,,,
37,5.0562,2.10573673248291,7.05562889463378e-05,1.8909323116219667,1850,,,,,,,,,
38,5.0422,2.2050952911376953,6.90508237751362e-05,1.9420178799489145,1900,,,,,,,,,
39,4.9992,2.470125198364258,6.752487324552682e-05,1.993103448275862,1950,,,,,,,,,
40,,,,1.9992337164750957,1956,5.795938968658447,3.8555,790.302,98.82,,,,,
41,5.0725,2.101994514465332,6.59800782127231e-05,2.044955300127714,2000,,,,,,,,,
42,4.9268,2.1276628971099854,6.441809979544027e-05,2.0960408684546614,2050,,,,,,,,,
43,4.9241,2.5082314014434814,6.284061758969376e-05,2.147126436781609,2100,,,,,,,,,
44,4.9487,2.250791072845459,6.12493278627289e-05,2.198212005108557,2150,,,,,,,,,
45,4.8878,2.502894163131714,5.9645941729024124e-05,2.2492975734355043,2200,,,,,,,,,
46,4.9046,2.3319168090820312,5.803218331032883e-05,2.300383141762452,2250,,,,,,,,,
