,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
66,4.7535,3.2221250534057617,2.7725170503150267e-05,3.2717752234993616,3200,,,,,,,,,
67,4.7587,2.774003267288208,2.6269446983666933e-05,3.322860791826309,3250,,,,,,,,,
68,4.7288,2.963083028793335,2.4839240937311918e-05,3.3739463601532567,3300,,,,,,,,,
69,4.7377,3.3814468383789062,2.343609026521758e-05,3.4250319284802044,3350,,,,,,,,,
70,4.7437,3.329501152038574,2.206150377586157e-05,3.476117496807152,3400,,,,,,,,,
71,4.7361,3.0247714519500732,2.0716959562644457e-05,3.5272030651340995,3450,,,,,,,,,
72,4.7366,3.070770502090454,1.940390341449522e-05,3.5782886334610473,3500,,,,,,,,,
73,4.6996,3.1919033527374268,1.8123747261213996e-05,3.6293742017879946,3550,,,,,,,,,
74,4.7362,3.186237096786499,1.6877867655223224e-05,3.6804597701149424,3600,,,,,,,,,
75,4.7077,3.151088237762451,1.5667604291360428e-05,3.73154533844189,3650,,,,,,,,,
76,4.714,3.241426944732666,1.4494258566303714e-05,3.782630906768838,3700,,,,,,,,,
77,4.7225,3.5127174854278564,1.3359092179179478e-05,3.8337164750957853,3750,,,,,,,,,
78,4.7416,3.0208210945129395,1.2263325774856804e-05,3.884802043422733,3800,,,,,,,,,
79,4.6951,3.3400168418884277,1.1208137631387517e-05,3.935887611749681,3850,,,,,,,,,
80,4.7522,3.246314764022827,1.0194662393003367e-05,3.986973180076628,3900,,,,,,,,,
81,,,,3.9992337164750955,3912,5.691287040710449,3.8281,795.959,99.528,,,,,
82,4.8059,3.3822181224823,9.223989850032626e-06,4.03882503192848,3950,,,,,,,,,
83,4.723,3.416379451751709,8.297163767048122e-06,4.089910600255428,4000,,,,,,,,,
84,4.6619,3.2819113731384277,7.415180760506734e-06,4.140996168582375,4050,,,,,,,,,
85,4.6639,3.3591926097869873,6.578989227087345e-06,4.192081736909323,4100,,,,,,,,,
86,4.7069,3.261467933654785,5.789488323879538e-06,4.243167305236271,4150,,,,,,,,,
87,4.6931,3.0919206142425537,5.0475270015195865e-06,4.294252873563218,4200,,,,,,,,,
88,4.6422,3.29170298576355,4.353903091313527e-06,4.345338441890166,4250,,,,,,,,,
89,4.6721,3.1426470279693604,3.7093624473287846e-06,4.396424010217114,4300,,,,,,,,,
90,4.6515,3.117401599884033,3.1145981443770345e-06,4.447509578544062,4350,,,,,,,,,
91,4.669,3.166248083114624,2.5702497327506016e-06,4.498595146871009,4400,,,,,,,,,
92,4.6755,3.5937721729278564,2.076902550513732e-06,4.549680715197956,4450,,,,,,,,,
93,4.6691,3.1406986713409424,1.6350870940883555e-06,4.600766283524904,4500,,,,,,,,,
94,4.6533,3.2218098640441895,1.2452784478110768e-06,4.651851851851852,4550,,,,,,,,,
95,4.6226,3.8202743530273438,9.07895773074785e-07,4.7029374201788,4600,,,,,,,,,
96,4.6394,3.345776319503784,6.233018576042804e-07,4.7540229885057474,4650,,,,,,,,,
97,4.6292,3.2072253227233887,3.918027253504153e-07,4.805108556832694,4700,,,,,,,,,
98,4.6775,3.0508182048797607,2.1364730742249872e-07,4.856194125159642,4750,,,,,,,,,
99,4.6665,3.158285617828369,8.902717441251484e-08,4.90727969348659,4800,,,,,,,,,
100,4.6517,3.2804861068725586,1.807633039922485e-08,4.958365261813538,4850,,,,,,,,,
101,,,,4.9992337164750955,4890,5.697585582733154,3.9135,778.587,97.355,,,,,
102,,,,4.9992337164750955,4890,,,,,586.4956,266.993,8.338,200692901308416.0,5.129633857087367
